Chemist Group,Mean_SR,Key,25th_Percentile_SR,75th_Percentile_SR
1,0.42,1,,
2,0.5,1,,
3,0.41,1,,
1,0.4444444444444445,3,0.3171506751401155,0.5717382137487734
2,0.5833333333333334,3,0.4166666666666667,0.75
3,0.4166666666666667,3,0.1162040603780009,0.7171292729553325
1,0.3125,4,0.23271440768697182,0.3922855923130282
2,0.5,4,0.43195861825602283,0.5680413817439772
3,0.6666666666666667,4,0.5145215118041205,0.818811821529213
1,0.38333333333333336,5,0.28831871457507185,0.47834795209159486
2,0.4666666666666667,5,0.34028540926580747,0.5930479240675259
3,0.5666666666666667,5,0.3591683400335211,0.7741649932998123
1,0.4166666666666667,6,0.2418651919716414,0.591468141361692
2,0.5277777777777778,6,0.39169501428982345,0.6638605412657321
3,0.5277777777777778,6,0.4268560993078614,0.6286994562476942
1,0.4523809523809524,7,0.28670931948295153,0.6180525852789532
2,0.5833333333333334,7,0.4757504626053496,0.6909162040613172
3,0.5476190476190477,7,0.4127567820002665,0.6824813132378289
1,0.4479166666666667,8,0.28769918055125276,0.6081341527820806
2,0.5729166666666667,8,0.4903307325862405,0.655502600747093
3,0.5,8,0.3218258387250504,0.6781741612749497
1,0.3796296296296296,9,0.20230816664624482,0.5569510926130143
2,0.6203703703703703,9,0.5261713428269639,0.7145693979137768
3,0.5,9,0.3979379273840342,0.6020620726159658
1,0.45,10,0.31278789960857256,0.5872121003914275
2,0.5333333333333333,10,0.41417994116929324,0.6524867254973734
3,0.5166666666666667,10,0.35565136948678405,0.6776819638465494
1,0.3939393939393939,11,0.21485643252009232,0.5730223553586955
2,0.5151515151515151,11,0.3817235184528076,0.6485795118502227
3,0.42424242424242425,11,0.2641446006116418,0.5843402478732067
1,0.4166666666666667,12,0.24258901071096886,0.5907443226223645
2,0.5625,12,0.43876906840105245,0.6862309315989475
3,0.5208333333333334,12,0.35751468835371136,0.6841519783129554
1,0.358974358974359,13,0.2665243262701541,0.45142439167856385
2,0.5256410256410257,13,0.43319099293682084,0.6180910583452305
3,0.5192307692307693,13,0.39123949459938523,0.6472220438621533
1,0.4107142857142857,14,0.2953169522678643,0.5261116191607071
2,0.5535714285714286,14,0.4329996831766397,0.6741431739662175
3,0.5476190476190476,14,0.43107017982686957,0.6641679154112256
1,0.4666666666666667,15,0.34966035833042275,0.5836729750029106
2,0.5555555555555556,15,0.4391158670545936,0.6719952440565176
3,0.5277777777777778,15,0.3396724937382329,0.7158830618173226
1,0.4166666666666667,16,0.25855278365824774,0.5747805496750856
2,0.515625,16,0.3857434656582662,0.6455065343417338
3,0.578125,16,0.47967050778640397,0.676579492213596
1,0.36764705882352944,17,0.23569186490296265,0.4996022527440962
2,0.5294117647058824,17,0.3914039383672324,0.6674195910445323
3,0.49509803921568624,17,0.3617953466579691,0.6284007317734034
1,0.462962962962963,18,0.288577435257659,0.637348490668267
2,0.537037037037037,18,0.4412848453770134,0.6327892286970606
3,0.5092592592592592,18,0.41070397265795056,0.6078145458605678
1,0.4298245614035087,19,0.31111507222925194,0.5485340505777655
2,0.5833333333333334,19,0.47222222222222227,0.6944444444444444
3,0.5482456140350876,19,0.43265604414244463,0.6638351839277307
1,0.37083333333333335,20,0.23437060573567828,0.5072960609309884
2,0.5875,20,0.48114148128652806,0.693858518713472
3,0.5583333333333333,20,0.4465299344583439,0.6701367322083228
1,0.4484126984126984,21,0.3234788534848102,0.5733465433405865
2,0.5912698412698413,21,0.4736996438439999,0.7088400386956827
3,0.5357142857142857,21,0.4252498980032186,0.6461786734253528
1,0.4090909090909091,22,0.28871591380476386,0.5294659043770543
2,0.5643939393939393,22,0.47556030757910167,0.6532275712087771
3,0.5303030303030303,22,0.42258053216946206,0.6380255284365984
1,0.46376811594202894,23,0.30923622472909995,0.6183000071549579
2,0.5905797101449276,23,0.49685945062567205,0.6842999696641832
3,0.5362318840579711,23,0.43316622709956043,0.6392975410163817
1,0.46875,24,0.3323440539213783,0.6051559460786218
2,0.5416666666666666,24,0.4317699211007021,0.6515634122326311
3,0.5729166666666666,24,0.4444913749381463,0.701341958395187
1,0.4666666666666666,25,0.3590837959386828,0.5742495373946505
2,0.5866666666666667,25,0.5125983798557034,0.6607349534776299
3,0.57,25,0.46328126270945247,0.6767187372905474
1,0.4326923076923077,26,0.29321066658808137,0.572173948796534
2,0.592948717948718,26,0.520965220314719,0.6649322155827169
3,0.5256410256410257,26,0.44478027163476164,0.6065017796472897
1,0.45987654320987653,27,0.3481439508010613,0.5716091356186918
2,0.6234567901234568,27,0.5328440540821576,0.7140695261647559
3,0.5154320987654321,27,0.4172732002518914,0.6135909972789727
1,0.45238095238095244,28,0.3252315889873237,0.5795303157745813
2,0.6011904761904762,28,0.5152523498900488,0.6871286024909036
3,0.6011904761904762,28,0.5014038136902523,0.7009771386907
1,0.46839080459770116,29,0.33773731677330854,0.5990442924220938
2,0.574712643678161,29,0.5030791117955045,0.6463461755608175
3,0.5603448275862069,29,0.4585344497371544,0.6621552054352593
1,0.48888888888888893,30,0.3778736045408492,0.5999041732369287
2,0.5944444444444444,30,0.49722906428016533,0.6916598246087236
3,0.5805555555555556,30,0.4722701255335776,0.6888409855775336
1,0.47043010752688175,31,0.3458040240092207,0.5950561910445428
2,0.6263440860215054,31,0.5491509427896926,0.7035372292533182
3,0.5537634408602151,31,0.4636288010953411,0.6438980806250891
1,0.4869791666666667,32,0.37677128432720286,0.5971870490061305
