Chemist Group,Mean_SR,Key,25th_Percentile_SR,75th_Percentile_SR
1,0.325,1,,
2,0.43,1,,
3,0.33,1,,
1,0.37777777777777777,3,0.27594276233431464,0.4796127932212409
2,0.4444444444444445,3,0.40595442649846947,0.4829344623904195
3,0.3333333333333333,3,0.3333333333333333,0.3333333333333333
1,0.35,4,0.26611295071921387,0.4338870492807861
2,0.3833333333333333,4,0.2694783248226711,0.4971883418439955
3,0.35,4,0.23614499148933776,0.4638550085106622
1,0.36,5,0.2839883049933908,0.4360116950066092
2,0.44000000000000006,5,0.3505572809000085,0.5294427190999916
3,0.4133333333333334,5,0.31445068683872457,0.5122159798279422
1,0.2888888888888889,6,0.2081515461129558,0.369626231664822
2,0.45555555555555555,6,0.3900094168722106,0.5211016942389005
3,0.4666666666666666,6,0.40703818726667224,0.526295146066661
1,0.34285714285714286,7,0.21856017809236894,0.4671541076219168
2,0.42857142857142855,7,0.3929365963164386,0.46420626082641847
3,0.41904761904761906,7,0.2765082900276594,0.5615869480675787
1,0.41666666666666663,8,0.2798084965409532,0.5535248367923801
2,0.39166666666666666,8,0.308571769682785,0.47476156365054833
3,0.3833333333333333,8,0.29788400740511256,0.46878265926155405
1,0.3111111111111111,9,0.22291940074229144,0.3993028214799308
2,0.4148148148148148,9,0.3053830614615247,0.5242465681681049
3,0.4148148148148148,9,0.2910867178630365,0.5385429117665931
1,0.38666666666666666,10,0.30471516037961877,0.46861817295371455
2,0.4333333333333333,10,0.37667756096008015,0.48998910570658644
3,0.4066666666666666,10,0.34037140493254975,0.4729619284007835
1,0.3333333333333333,11,0.21407637453334455,0.4525902921333221
2,0.41818181818181815,11,0.29492631448352813,0.5414373218801082
3,0.4121212121212121,11,0.3096270634831045,0.5146153607593198
1,0.35555555555555557,12,0.24424260756399266,0.4668685035471185
2,0.41111111111111115,12,0.3219700546549083,0.5002521675673139
3,0.43333333333333335,12,0.29262803919704367,0.574038627469623
1,0.3435897435897436,13,0.23188194404722068,0.4552975431322665
2,0.40512820512820513,13,0.3476404385613667,0.46261597169504354
3,0.4153846153846154,13,0.3478686575790376,0.4829005731901932
1,0.34285714285714286,14,0.24909569666944376,0.43661858904484196
2,0.4523809523809524,14,0.3823208003084304,0.5224411044534744
3,0.4333333333333333,14,0.31138336460929106,0.5552833020573755
1,0.3111111111111111,15,0.20824221113638317,0.41398001108583904
2,0.39555555555555555,15,0.3423016464410235,0.4488094646700876
3,0.44,15,0.3120119053155631,0.5679880946844369
1,0.3208333333333333,16,0.19858586119405164,0.44308080547261497
2,0.4083333333333333,16,0.3244462840525472,0.49222038261411943
3,0.4041666666666667,16,0.3182080202784825,0.49012531305485085
1,0.33333333333333337,17,0.23059309995051708,0.43607356671614966
2,0.396078431372549,17,0.3521682437714535,0.4399886189736445
3,0.38431372549019605,17,0.29446999769110815,0.47415745328928394
1,0.2962962962962963,18,0.2307280024192534,0.36186459017333916
2,0.4222222222222223,18,0.36621101886110186,0.4782334255833427
3,0.38148148148148153,18,0.2905730507715265,0.47238991219143656
1,0.3228070175438596,19,0.23319011576846532,0.4124239193192539
2,0.4035087719298246,19,0.34696780367124297,0.4600497401884062
3,0.3719298245614035,19,0.2495747664971039,0.49428488262570314
1,0.3433333333333333,20,0.22630382238524582,0.4603628442814208
2,0.39,20,0.3358181532741834,0.4441818467258166
3,0.39333333333333337,20,0.3098422545648917,0.47682441210177506
1,0.34285714285714286,21,0.2752448024788615,0.4104694832354242
2,0.3936507936507937,21,0.3424224945931573,0.44487909270843007
3,0.4253968253968254,21,0.3424612668088055,0.5083323839848453
1,0.34545454545454546,22,0.2694808278147868,0.4214282630943041
2,0.3757575757575758,22,0.33189412942692453,0.41962102208822705
3,0.40303030303030307,22,0.29918411492486136,0.5068764911357448
1,0.3188405797101449,23,0.22465288457537597,0.41302827484491383
2,0.4028985507246377,23,0.34437026741392474,0.4614268340353507
3,0.3768115942028985,23,0.3213659409420268,0.4322572474637702
1,0.35833333333333334,24,0.24234149620591633,0.47432517046075034
2,0.37777777777777777,24,0.33098016990024215,0.4245753856553134
3,0.4083333333333334,24,0.34834138540342263,0.46832528126324413
1,0.33333333333333337,25,0.23905242917512703,0.4276142374915397
2,0.3813333333333333,25,0.32515900151215754,0.43750766515450906
3,0.384,25,0.3193642685677823,0.44863573143221774
1,0.3,26,0.2052488639763207,0.3947511360236793
2,0.3871794871794872,26,0.3493765794995239,0.4249823948594505
3,0.37692307692307697,26,0.3016344584713079,0.45221169537484607
1,0.3333333333333333,27,0.250643510273861,0.4160231563928056
2,0.3802469135802469,27,0.3356602465500711,0.42483358061042276
3,0.3975308641975309,27,0.3376692531909654,0.4573924752040964
1,0.3190476190476191,28,0.23718224153506273,0.4009129965601754
2,0.3976190476190476,28,0.3447751736628619,0.45046292157523327
3,0.40476190476190477,28,0.3323466154034894,0.4771771941203201
1,0.3195402298850574,29,0.23910626733383597,0.39997419243627885
2,0.39770114942528734,29,0.3523357594264926,0.4430665394240821
3,0.3931034482758621,29,0.31678991874621687,0.4694169778055073
1,0.3244444444444444,30,0.24866834082365302,0.4002205480652358
2,0.3777777777777778,30,0.3303671776298605,0.42518837792569514
3,0.3844444444444444,30,0.31968237869880595,0.4492065101900829
1,0.33763440860215055,31,0.25519837931439804,0.42007043788990306
2,0.39139784946236555,31,0.35391428078024895,0.42888141814448216
3,0.4043010752688172,31,0.32939771259699857,0.47920443794063583
1,0.32083333333333336,32,0.2481233728653584,0.3935432938013083
2,0.38958333333333334,32,0.3597240456504046,0.41944262101626206
3,0.3854166666666667,32,0.3101929858837002,0.46064034744963317
1,0.2949494949494949,33,0.23714161623256877,0.35275737366642107
2,0.3858585858585859,33,0.3458670042528704,0.4258501674643014
3,0.3717171717171717,33,0.31390929300024556,0.4295250504340979
1,0.3431372549019608,34,0.2713494025749059,0.41492510722901566
2,0.38627450980392153,34,0.3503943810370843,0.42215463857075874
3,0.40784313725490196,34,0.34064383895338485,0.47504243555641906
1,0.3104761904761905,35,0.23473521954320636,0.38621716140917467
2,0.3961904761904762,35,0.3684528768633311,0.4239280755176213
3,0.3961904761904762,35,0.31874286430755316,0.47363808807339924
1,0.3074074074074074,36,0.23927536422182566,0.37553945059298915
2,0.4,36,0.4,0.4
3,0.3962962962962963,36,0.3269328514715607,0.4656597411210319
1,0.2954954954954955,37,0.23355059656235352,0.3574403944286374
2,0.4,37,0.4,0.4
3,0.3783783783783784,37,0.3062775332709975,0.4504792234857593
1,0.3017543859649123,38,0.2383441110228227,0.36516466090700184
2,0.4,38,0.4,0.4
3,0.37894736842105264,38,0.3272953492060817,0.43059938763602357
1,0.3145299145299146,39,0.24795327716383128,0.38110655189599785
2,0.4,39,0.4,0.4
3,0.39487179487179486,39,0.3275337450376514,0.4622098447059383
1,0.31333333333333335,40,0.24382140031526206,0.38284526635140465
2,0.4,40,0.4,0.4
3,0.39,40,0.32497754058849954,0.4550224594115005
1,0.3105691056910569,41,0.25359005281963176,0.367548158562482
2,0.4,41,0.4,0.4
3,0.375609756097561,41,0.3110495386241292,0.44016997357099275
1,0.29523809523809524,42,0.23607893342324449,0.354397257052946
2,0.4,42,0.4,0.4
3,0.4031746031746032,42,0.3407877847621588,0.46556142158704755
1,0.2945736434108527,43,0.2528322928458373,0.33631499397586806
2,0.4,43,0.4,0.4
3,0.3922480620155039,43,0.33551271180872355,0.4489834122222842
1,0.2818181818181818,44,0.2414999737152952,0.3221363899210684
2,0.4,44,0.4,0.4
3,0.3803030303030303,44,0.32732056925001574,0.4332854913560449
1,0.2874074074074074,45,0.2406494399618388,0.334165374852976
2,0.4,45,0.4,0.4
3,0.39555555555555555,45,0.33458694299817715,0.45652416811293395
1,0.2927536231884058,46,0.24115543991181182,0.3443518064649998
2,0.4,46,0.4,0.4
3,0.3811594202898551,46,0.31883720939346205,0.44348163118624817
1,0.28226950354609925,47,0.24007655828912153,0.324462448803077
2,0.4,47,0.4,0.4
3,0.374468085106383,47,0.3179111726573253,0.4310249975554407
1,0.2791666666666667,48,0.24368617557329325,0.3146471577600401
2,0.4,48,0.4,0.4
3,0.40277777777777773,48,0.3478403178120475,0.457715237743508
1,0.28027210884353737,49,0.24432051629462903,0.3162237013924457
2,0.4,49,0.4,0.4
3,0.3727891156462585,49,0.32022809758340626,0.42535013370911073
1,0.27066666666666667,50,0.2497576205713332,0.2915757127620001
2,0.4,50,0.4,0.4
3,0.4,50,0.3478359469042699,0.45216405309573016
1,0.27712418300653596,51,0.25263818149235434,0.3016101845207176
2,0.4,51,0.4,0.4
3,0.3934640522875817,51,0.33345679056289546,0.4534713140122679
1,0.26666666666666666,52,0.26666666666666666,0.26666666666666666
2,0.4,52,0.4,0.4
3,0.38974358974358975,52,0.33796121391821526,0.44152596556896423
1,0.26666666666666666,53,0.26666666666666666,0.26666666666666666
2,0.4,53,0.4,0.4
3,0.39119496855345914,53,0.343986147399881,0.4384037897070373
1,0.26666666666666666,54,0.26666666666666666,0.26666666666666666
2,0.4,54,0.4,0.4
3,0.3925925925925926,54,0.35029650802095824,0.43488867716422697
1,0.26666666666666666,55,0.26666666666666666,0.26666666666666666
2,0.4,55,0.4,0.4
3,0.3793939393939394,55,0.3333616957781782,0.4254261830097006
1,0.26666666666666666,56,0.26666666666666666,0.26666666666666666
2,0.4,56,0.4,0.4
3,0.38095238095238093,56,0.3374412571652631,0.4244635047394988
1,0.26666666666666666,57,0.26666666666666666,0.26666666666666666
2,0.4,57,0.4,0.4
3,0.39532163742690063,57,0.3519340356523482,0.43870923920145305
1,0.26666666666666666,58,0.26666666666666666,0.26666666666666666
2,0.4,58,0.4,0.4
3,0.3896551724137931,58,0.35260671010398315,0.42670363472360306
1,0.26666666666666666,59,0.26666666666666666,0.26666666666666666
2,0.4,59,0.4,0.4
3,0.39096045197740115,59,0.35092669779269225,0.43099420616211004
1,0.26666666666666666,60,0.26666666666666666,0.26666666666666666
2,0.4,60,0.4,0.4
3,0.39111111111111113,60,0.3624126222261327,0.4198095999960896
1,0.26666666666666666,61,0.26666666666666666,0.26666666666666666
2,0.4,61,0.4,0.4
3,0.3978142076502732,61,0.3507253033745365,0.4449031119260099
1,0.26666666666666666,62,0.26666666666666666,0.26666666666666666
2,0.4,62,0.4,0.4
3,0.3870967741935484,62,0.3555288587361247,0.41866468965097203
1,0.26666666666666666,63,0.26666666666666666,0.26666666666666666
2,0.4,63,0.4,0.4
3,0.3883597883597884,63,0.3554818615667958,0.421237715152781
1,0.26666666666666666,64,0.26666666666666666,0.26666666666666666
2,0.4,64,0.4,0.4
3,0.4010416666666667,64,0.37077608735608203,0.43130724597725134
1,0.26666666666666666,65,0.26666666666666666,0.26666666666666666
2,0.4,65,0.4,0.4
3,0.3917948717948718,65,0.3595034636073207,0.42408627998242293
1,0.26666666666666666,66,0.26666666666666666,0.26666666666666666
2,0.4,66,0.4,0.4
3,0.39090909090909093,66,0.3560489529972981,0.42576922882088375
1,0.26666666666666666,67,0.26666666666666666,0.26666666666666666
2,0.4,67,0.4,0.4
3,0.3900497512437811,67,0.35670888069535234,0.4233906217922099
1,0.26666666666666666,68,0.26666666666666666,0.26666666666666666
2,0.4,68,0.4,0.4
3,0.39019607843137255,68,0.36136660695651784,0.41902554990622726
1,0.26666666666666666,69,0.26666666666666666,0.26666666666666666
2,0.4,69,0.4,0.4
3,0.38067632850241545,69,0.3443383196732531,0.4170143373315778
1,0.26666666666666666,70,0.26666666666666666,0.26666666666666666
2,0.4,70,0.4,0.4
3,0.39333333333333337,70,0.37021144807066847,0.41645521859599827
1,0.26666666666666666,71,0.26666666666666666,0.26666666666666666
2,0.4,71,0.4,0.4
3,0.38967136150234744,71,0.360616651589498,0.41872607141519685
1,0.26666666666666666,72,0.26666666666666666,0.26666666666666666
2,0.4,72,0.4,0.4
3,0.38981481481481484,72,0.3631957911252156,0.41643383850441407
1,0.26666666666666666,73,0.26666666666666666,0.26666666666666666
2,0.4,73,0.4,0.4
3,0.39452054794520547,73,0.3678691063249792,0.4211719895654317
1,0.26666666666666666,74,0.26666666666666666,0.26666666666666666
2,0.4,74,0.4,0.4
3,0.3945945945945946,74,0.3732066600258949,0.4159825291632943
1,0.26666666666666666,75,0.26666666666666666,0.26666666666666666
2,0.4,75,0.4,0.4
3,0.392,75,0.3701900097277492,0.41380999027225085
1,0.26666666666666666,76,0.26666666666666666,0.26666666666666666
2,0.4,76,0.4,0.4
3,0.39210526315789473,76,0.3704217339572205,0.41378879235856897
1,0.26666666666666666,77,0.26666666666666666,0.26666666666666666
2,0.4,77,0.4,0.4
3,0.3922077922077922,77,0.37064860948823625,0.4137669749273482
1,0.26666666666666666,78,0.26666666666666666,0.26666666666666666
2,0.4,78,0.4,0.4
3,0.39658119658119656,78,0.3782923930533456,0.4148700001090475
1,0.26666666666666666,79,0.26666666666666666,0.26666666666666666
2,0.4,79,0.4,0.4
3,0.3966244725738397,79,0.38191461318581676,0.41133433196186264
1,0.26666666666666666,80,0.26666666666666666,0.26666666666666666
2,0.4,80,0.4,0.4
3,0.39333333333333337,80,0.37320714911626823,0.4134595175503985
1,0.26666666666666666,81,0.26666666666666666,0.26666666666666666
2,0.4,81,0.4,0.4
3,0.3975308641975309,81,0.384862248363096,0.4101994800319658
1,0.26666666666666666,82,0.26666666666666666,0.26666666666666666
2,0.4,82,0.4,0.4
3,0.3959349593495935,82,0.37676834177768354,0.41510157692150346
1,0.26666666666666666,83,0.26666666666666666,0.26666666666666666
2,0.4,83,0.4,0.4
3,0.39919678714859436,83,0.39187916981594834,0.4065144044812404
1,0.26666666666666666,84,0.26666666666666666,0.26666666666666666
2,0.4,84,0.4,0.4
3,0.39682539682539686,84,0.38254287024791944,0.4111079234028743
1,0.26666666666666666,85,0.26666666666666666,0.26666666666666666
2,0.4,85,0.4,0.4
3,0.3992156862745099,85,0.391984671013888,0.40644670153513174
1,0.26666666666666666,86,0.26666666666666666,0.26666666666666666
2,0.4,86,0.4,0.4
3,0.39922480620155043,86,0.3920359546546545,0.40641365774844634
1,0.26666666666666666,87,0.26666666666666666,0.26666666666666666
2,0.4,87,0.4,0.4
3,0.4,87,0.4,0.4
1,0.26666666666666666,88,0.26666666666666666,0.26666666666666666
2,0.4,88,0.4,0.4
3,0.4,88,0.4,0.4
1,0.26666666666666666,89,0.26666666666666666,0.26666666666666666
2,0.4,89,0.4,0.4
3,0.4,89,0.4,0.4
1,0.26666666666666666,90,0.26666666666666666,0.26666666666666666
2,0.4,90,0.4,0.4
3,0.4,90,0.4,0.4
1,0.26666666666666666,91,0.26666666666666666,0.26666666666666666
2,0.4,91,0.4,0.4
3,0.4,91,0.4,0.4
1,0.26666666666666666,92,0.26666666666666666,0.26666666666666666
2,0.4,92,0.4,0.4
3,0.4,92,0.4,0.4
