Chemist Group,Mean_SR,Key,25th_Percentile_SR,75th_Percentile_SR
1,0.378,1,,
2,0.486,1,,
3,0.432,1,,
1,0.44594594594594594,1,,
2,0.5945945945945946,1,,
3,0.44594594594594594,1,,
1,0.3783783783783784,2,0.24460141977551803,0.5121553369812388
2,0.5135135135135136,2,0.3224035726522845,0.7046234543747427
3,0.44594594594594594,2,0.426834951859823,0.4650569400320689
1,0.35585585585585583,3,0.32772523424144867,0.383986477470263
2,0.5,3,0.45945945945945943,0.5405405405405406
3,0.4684684684684685,3,0.44782623560830703,0.48911070132863
1,0.38513513513513514,4,0.29652110102294593,0.47374916924732435
2,0.5304054054054054,4,0.4759306908898746,0.5848801199209361
3,0.47297297297297297,4,0.45386197888685004,0.4920839670590959
1,0.3675675675675676,5,0.28911932284486497,0.4460158122902702
2,0.5405405405405406,5,0.48997760288143327,0.5911034781996479
3,0.4918918918918919,5,0.47139763393499584,0.5123861498487879
1,0.36936936936936937,6,0.3162238515180086,0.42251488722073016
2,0.5788288288288288,6,0.5349012482553698,0.6227564094022878
3,0.45495495495495497,6,0.4116554420155031,0.49825446789440686
1,0.3745173745173745,7,0.3206244357369109,0.4284103132978381
2,0.527027027027027,7,0.48289207670660933,0.5711619773474446
3,0.4961389961389961,7,0.4573523985433214,0.5349255937346709
1,0.40033783783783783,8,0.34929349035861673,0.4513821853170589
2,0.5202702702702703,8,0.48562865165072133,0.5549118888898192
3,0.49324324324324326,8,0.4487159745379506,0.5377705119485359
1,0.3678678678678679,9,0.3178597523021595,0.4178759834335763
2,0.5585585585585585,9,0.5261542915091483,0.5909628256079688
3,0.4684684684684684,9,0.41656883503692377,0.520368101900013
1,0.40405405405405403,10,0.3529125514252794,0.4551955566828287
2,0.5554054054054054,10,0.5259017605516886,0.5849090502591222
3,0.4905405405405405,10,0.43955798624533005,0.541523094835751
1,0.4152334152334152,11,0.36251653942229367,0.4679502910445368
2,0.5638820638820639,11,0.5296467520321335,0.5981173757319942
3,0.5098280098280098,11,0.4841232545380206,0.535532765117999
1,0.4121621621621621,12,0.3564445185727343,0.46787980575158994
2,0.5619369369369369,12,0.5266705343825998,0.597203339491274
3,0.49324324324324326,12,0.45657294457838016,0.5299135419081064
1,0.41372141372141374,13,0.3707966073188082,0.4566462201240193
2,0.5873180873180873,13,0.5622692036425117,0.612366970993663
3,0.498960498960499,13,0.4436646452641339,0.5542563526568641
1,0.41988416988416993,14,0.3686411816608036,0.47112715810753625
2,0.582046332046332,14,0.5532750270715807,0.6108176370210834
3,0.5048262548262549,14,0.46124418087758373,0.548408328774926
1,0.43783783783783786,15,0.36802943589852194,0.5076462397771538
2,0.572972972972973,15,0.5526705531658148,0.5932753927801312
3,0.5144144144144144,15,0.46347451978218007,0.5653543090466486
1,0.41469594594594594,16,0.3720426645889551,0.4573492273029368
2,0.5734797297297297,16,0.5508841275710664,0.596075331888393
3,0.4847972972972973,16,0.4375,0.5320945945945946
1,0.4189189189189189,17,0.3767229864973081,0.4611148513405297
2,0.5707472178060413,17,0.5475717333273239,0.5939227022847587
3,0.5031796502384738,17,0.4595136916789435,0.546845608798004
1,0.4361861861861862,18,0.3920174444586895,0.4803549279136829
2,0.5698198198198198,18,0.5318091991012022,0.6078304405384374
3,0.5232732732732733,18,0.48803264786588896,0.5585138986806577
1,0.42460881934566147,19,0.37540532064458665,0.4738123180467363
2,0.5881934566145093,19,0.5602915430356572,0.6160953701933614
3,0.5,19,0.47080747433149617,0.5291925256685038
1,0.422972972972973,20,0.3708930918192,0.47505285412674597
2,0.5804054054054054,20,0.5535657275810199,0.607245083229791
3,0.5256756756756757,20,0.484105072742145,0.5672462786092065
1,0.4369369369369369,21,0.3914436714488195,0.48243020242505436
2,0.5772200772200772,21,0.5452005042641479,0.6092396501760065
3,0.5180180180180181,21,0.4760752996505053,0.5599607363855308
1,0.4244471744471745,22,0.3778847475291966,0.4710096013651524
2,0.5921375921375921,22,0.5736574986576508,0.6106176856175334
3,0.5362407862407862,22,0.5043746546937241,0.5681069177878483
1,0.4524089306698002,23,0.41738985254542194,0.48742800879417847
2,0.5846063454759107,23,0.5597495635586187,0.6094631273932027
3,0.5323149236192715,23,0.485195368082058,0.5794344791564849
1,0.4363738738738739,24,0.38684547152120474,0.48590227622654303
2,0.5844594594594594,24,0.5652448819908721,0.6036740369280468
3,0.5270270270270271,24,0.4907226986938299,0.5633313553602243
1,0.44,25,0.40236379334179406,0.47763620665820594
2,0.5789189189189189,25,0.5569620583658487,0.6008757794719891
3,0.5416216216216216,25,0.49837134066277433,0.584871902580469
1,0.43814968814968813,26,0.3991383345321206,0.47716104176725566
2,0.5841995841995842,26,0.5599330786504534,0.608466089748715
3,0.5088357588357588,26,0.4706247978277101,0.5470467198438076
1,0.4354354354354355,27,0.4022635690123,0.468607301858571
2,0.5845845845845846,27,0.5628616564435457,0.6063075127256236
3,0.534034034034034,27,0.5002252344868938,0.5678428335811743
1,0.4488416988416989,28,0.4014041628824252,0.4962792348009726
2,0.5854247104247104,28,0.5656002598912206,0.6052491609582002
3,0.5386100386100386,28,0.5047583979058422,0.5724616793142351
1,0.4380242311276794,29,0.4004012127300549,0.4756472495253039
2,0.5904007455731594,29,0.5656133662335436,0.6151881249127751
3,0.5400745573159366,29,0.5112984424937032,0.56885067213817
1,0.43783783783783786,30,0.4022433072850349,0.47343236839064085
2,0.5855855855855856,30,0.5688145047143432,0.602356666456828
3,0.545045045045045,30,0.5084502774565948,0.5816398126334953
1,0.44638186573670446,31,0.41210903229891205,0.4806546991744969
2,0.5815170008718397,31,0.563224983666319,0.5998090180773603
3,0.5475152571926765,31,0.5169235421660876,0.5781069722192653
1,0.4455236486486487,32,0.40831940442426046,0.4827278928730369
2,0.5882601351351351,32,0.5718043434653678,0.6047159268049024
3,0.5519425675675675,32,0.5124905470639584,0.5913945880711767
1,0.4602784602784603,33,0.42390171811310595,0.49665520244381467
2,0.592956592956593,33,0.5764897876634865,0.6094233982496995
3,0.54995904995905,33,0.5206070172461413,0.5793110826719586
1,0.4550874403815581,34,0.41929991867357314,0.490874962089543
2,0.5914149443561209,34,0.5744323627340245,0.6083975259782172
3,0.5532591414944356,34,0.5288255946323744,0.5776926883564967
1,0.44517374517374514,35,0.41391812527898086,0.4764293650685094
2,0.5872586872586872,35,0.5767181176005107,0.5977992569168638
3,0.5501930501930502,35,0.5181519176523939,0.5822341827337065
1,0.45645645645645644,36,0.422713452325533,0.4901994605873799
2,0.5893393393393394,36,0.5789831765726526,0.5996955021060261
3,0.5510510510510511,36,0.517932329072412,0.5841697730296902
1,0.4506939371804237,37,0.41505191666968755,0.4863359576911599
2,0.5893393393393394,37,0.582658079441055,0.5960205992376237
3,0.5533235938641343,37,0.5210061761259278,0.5856410116023408
1,0.4512802275960171,38,0.41707331220928695,0.48548714298274726
2,0.585960960960961,38,0.5793780405883499,0.592543881333572
3,0.5536984352773826,38,0.5271343128917066,0.5802625576630586
1,0.4573804573804574,39,0.41884062938851696,0.49592028537239785
2,0.5945945945945946,39,0.5945945945945946,0.5945945945945946
3,0.5523215523215523,39,0.5243887420481038,0.5802543625950008
1,0.4614864864864865,40,0.4304966840950587,0.4924762888779143
2,0.5945945945945946,40,0.5945945945945946,0.5945945945945946
3,0.5604729729729729,40,0.5279443128863256,0.5930016330596203
1,0.449901120632828,41,0.4191977900757745,0.4806044511898815
2,0.5945945945945946,41,0.5945945945945946,0.5945945945945946
3,0.5543836519446276,41,0.5196027183902259,0.5891645854990293
1,0.4594594594594595,42,0.4302161199567319,0.48870279896218705
2,0.5945945945945946,42,0.5945945945945946,0.5945945945945946
3,0.5630630630630631,42,0.537272861786647,0.5888532643394792
1,0.4610307982401006,43,0.4321062113086999,0.48995538517150133
2,0.5945945945945946,43,0.5945945945945946,0.5945945945945946
3,0.5631678189817724,43,0.5298413217742398,0.5964943161893049
1,0.4662162162162162,44,0.43942592683346127,0.4930065055989711
2,0.5945945945945946,44,0.5945945945945946,0.5945945945945946
3,0.5617321867321867,44,0.532969896667182,0.5904944767971915
1,0.46336336336336337,45,0.434319707401311,0.49240701932541575
2,0.5945945945945946,45,0.5945945945945946,0.5945945945945946
3,0.5705705705705705,45,0.5459732611230992,0.5951678800180418
1,0.4597532314923619,46,0.4379653701099758,0.481541092874748
2,0.5945945945945946,46,0.5945945945945946,0.5945945945945946
3,0.559048178613396,46,0.533669191702116,0.5844271655246759
1,0.4718228867165038,47,0.44794165886388804,0.49570411456911956
2,0.5945945945945946,47,0.5945945945945946,0.5945945945945946
3,0.5621046578493387,47,0.535275243024822,0.5889340726738554
1,0.46340090090090086,48,0.44059030312049013,0.4862114986813116
2,0.5945945945945946,48,0.5945945945945946,0.5945945945945946
3,0.5667229729729729,48,0.5440066085493667,0.5894393373965792
1,0.4641478212906784,49,0.4470208488711343,0.48127479371022247
2,0.5945945945945946,49,0.5945945945945946,0.5945945945945946
3,0.5694980694980695,49,0.5486723465150661,0.5903237924810728
1,0.46837837837837837,50,0.444954778169731,0.49180197858702573
2,0.5945945945945946,50,0.5945945945945946,0.5945945945945946
3,0.5691891891891891,50,0.5472391190678735,0.5911392593105048
1,0.46899841017488075,51,0.45249329937266064,0.48550352097710087
2,0.5945945945945946,51,0.5945945945945946,0.5945945945945946
3,0.570217276099629,51,0.5438718702778944,0.5965626819213636
1,0.46699584199584204,52,0.45551256318362787,0.4784791208080562
2,0.5945945945945946,52,0.5945945945945946,0.5945945945945946
3,0.5678274428274428,52,0.5415404922380355,0.5941143934168501
1,0.46075883575883575,53,0.44964116658051023,0.47187650493716127
2,0.5945945945945946,53,0.5945945945945946,0.5945945945945946
3,0.5690973992860785,53,0.5452954935438029,0.5928993050283541
1,0.4729729729729729,54,0.4729729729729729,0.4729729729729729
2,0.5945945945945946,54,0.5945945945945946,0.5945945945945946
3,0.57007007007007,54,0.5421557622450434,0.5979843778950967
1,0.4729729729729729,55,0.4729729729729729,0.4729729729729729
2,0.5945945945945946,55,0.5945945945945946,0.5945945945945946
3,0.5675675675675675,55,0.5382594274835688,0.5968757076515663
1,0.4729729729729729,56,0.4729729729729729,0.4729729729729729
2,0.5945945945945946,56,0.5945945945945946,0.5945945945945946
3,0.5796332046332047,56,0.55289288612419,0.6063735231422194
1,0.4729729729729729,57,0.4729729729729729,0.4729729729729729
2,0.5945945945945946,57,0.5945945945945946,0.5945945945945946
3,0.5765765765765766,57,0.5544108048267055,0.5987423483264477
1,0.4729729729729729,58,0.4729729729729729,0.4729729729729729
2,0.5945945945945946,58,0.5945945945945946,0.5945945945945946
3,0.575955265610438,58,0.5513054770575013,0.6006050541633746
1,0.4729729729729729,59,0.4729729729729729,0.4729729729729729
2,0.5945945945945946,59,0.5945945945945946,0.5945945945945946
3,0.5737517178195145,59,0.5471566096658947,0.6003468259731343
1,0.4729729729729729,60,0.4729729729729729,0.4729729729729729
2,0.5945945945945946,60,0.5945945945945946,0.5945945945945946
3,0.5740990990990991,60,0.5492820222610413,0.5989161759371568
1,0.4729729729729729,61,0.4729729729729729,0.4729729729729729
2,0.5945945945945946,61,0.5945945945945946,0.5945945945945946
3,0.579308817013735,61,0.5566324850219143,0.6019851490055558
1,0.4729729729729729,62,0.4729729729729729,0.4729729729729729
2,0.5945945945945946,62,0.5945945945945946,0.5945945945945946
3,0.5754141238012206,62,0.5540056167253108,0.5968226308771304
1,0.4729729729729729,63,0.4729729729729729,0.4729729729729729
2,0.5945945945945946,63,0.5945945945945946,0.5945945945945946
3,0.578936078936079,63,0.5527721860757656,0.6050999717963924
