Slide_ID;CHEMISTRY;Endpoint;ReferenceID;Correct_Answer;DOI;ID_Paper;Author;scaffold_smiles;ID_Reponse;ID_in_article;subst_smiles;total_smiles;Cpd_Level;measurement;mod;value;unit
1;Chemistry 15;LogP;45;A;https://pubs.acs.org/doi/10.1021/jm101094p;45;CM;[*]c1cn(CC(=O)COc2ccc(CCCCCCCC)cc2)c3ccc(cc13)C(=O)O;A;4;[*]C(=O)C;CCCCCCCCc1ccc(OCC(=O)Cn2cc(C(C)=O)c3cc(C(=O)O)ccc32)cc1;Good;logP;;5.8;
1;Chemistry 16;LogP;45;A;https://pubs.acs.org/doi/10.1021/jm101094p;45;CM;[*]c1cn(CC(=O)COc2ccc(CCCCCCCC)cc2)c3ccc(cc13)C(=O)O;B;13;[*]C(=O)C(C)(C)C;CCCCCCCCc1ccc(OCC(=O)Cn2cc(C(=O)C(C)(C)C)c3cc(C(=O)O)ccc32)cc1;bad;logP;>;7;
1;Chemistry 17;LogP;45;A;https://pubs.acs.org/doi/10.1021/jm101094p;45;CM;[*]c1cn(CC(=O)COc2ccc(CCCCCCCC)cc2)c3ccc(cc13)C(=O)O;C;34;[*]C(=O)C(F)(F)F;CCCCCCCCc1ccc(OCC(=O)Cn2cc(C(=O)C(F)(F)F)c3cc(C(=O)O)ccc32)cc1;bad;logP;>;7;
26;Chemistry 19;Solubility;45;B;https://pubs.acs.org/doi/10.1021/jm101094p;45;CM;[*]c1cn(CC(=O)COc2ccc(CCCCCCCC)cc2)c3ccc(cc13)C(=O)O;A;13;[*]C(=O)C(C)(C)C;CCCCCCCCc1ccc(OCC(=O)Cn2cc(C(=O)C(C)(C)C)c3cc(C(=O)O)ccc32)cc1;bad;Aqueous sol.;;5;ug/mL
26;Chemistry 18;Solubility;45;B;https://pubs.acs.org/doi/10.1021/jm101094p;45;CM;[*]c1cn(CC(=O)COc2ccc(CCCCCCCC)cc2)c3ccc(cc13)C(=O)O;B;12;[*]C(=O)C(C)C;CCCCCCCCc1ccc(OCC(=O)Cn2cc(C(=O)C(C)C)c3cc(C(=O)O)ccc32)cc1;Good;Aqueous sol.;;80;ug/mL
26;Chemistry 20;Solubility;45;B;https://pubs.acs.org/doi/10.1021/jm101094p;45;CM;[*]c1cn(CC(=O)COc2ccc(CCCCCCCC)cc2)c3ccc(cc13)C(=O)O;C;34;[*]C(=O)C(F)(F)F;CCCCCCCCc1ccc(OCC(=O)Cn2cc(C(=O)C(F)(F)F)c3cc(C(=O)O)ccc32)cc1;bad;Aqueous sol.;<;1;ug/mL
30;Chemistry 22;Solubility;45;B;https://pubs.acs.org/doi/10.1021/jm101094p;45;CM;[*]c1cn(CC(=O)COc2ccc(CCCCCCCC)cc2)c3ccc(cc13)C(=O)O;A;30;[*]C(=O)CCCCC(=O)O;CCCCCCCCc1ccc(OCC(=O)Cn2cc(C(=O)CCCCC(=O)O)c3cc(C(=O)O)ccc32)cc1;medium;Aqueous sol.;;194;ug/mL
30;Chemistry 21;Solubility;45;B;https://pubs.acs.org/doi/10.1021/jm101094p;45;CM;[*]c1cn(CC(=O)COc2ccc(CCCCCCCC)cc2)c3ccc(cc13)C(=O)O;B;32;[*]C(=O)c1ccc(cc1)C(=O)O;CCCCCCCCc1ccc(OCC(=O)Cn2cc(C(=O)c3ccc(C(=O)O)cc3)c3cc(C(=O)O)ccc32)cc1;Good;Aqueous sol.;;472;ug/mL
30;Chemistry 23;Solubility;45;B;https://pubs.acs.org/doi/10.1021/jm101094p;45;CM;[*]c1cn(CC(=O)COc2ccc(CCCCCCCC)cc2)c3ccc(cc13)C(=O)O;C;22;[*]C(=O)CCC(=O)O;CCCCCCCCc1ccc(OCC(=O)Cn2cc(C(=O)CCC(=O)O)c3cc(C(=O)O)ccc32)cc1;medium;Aqueous sol.;;354;ug/mL
9;Chemistry 24;Solubility;44;A;https://pubs.acs.org/doi/pdf/10.1021/jm1001088;44;CM;[*]C(=O)c1cn(CC(=O)COc2ccc(C)cc2)c3ccc(cc13)C(=O)O;A;33;[*]Oc1ccccc1;Cc1ccc(OCC(=O)Cn2cc(C(=O)Oc3ccccc3)c3cc(C(=O)O)ccc32)cc1;Good;Thermodyn. sol.;;111;ug/mL
9;Chemistry 25;Solubility;44;A;https://pubs.acs.org/doi/pdf/10.1021/jm1001088;44;CM;[*]C(=O)c1cn(CC(=O)COc2ccc(C)cc2)c3ccc(cc13)C(=O)O;B;34;[*]Oc1ccc(cc1)C(F)(F)F;Cc1ccc(OCC(=O)Cn2cc(C(=O)Oc3ccc(C(F)(F)F)cc3)c3cc(C(=O)O)ccc32)cc1;bad;Thermodyn. sol.;<;3;ug/mL
9;Chemistry 26;Solubility;44;A;https://pubs.acs.org/doi/pdf/10.1021/jm1001088;44;CM;[*]C(=O)c1cn(CC(=O)COc2ccc(C)cc2)c3ccc(cc13)C(=O)O;C;35;[*]OCCOc1ccccc1;Cc1ccc(OCC(=O)Cn2cc(C(=O)OCCOc3ccccc3)c3cc(C(=O)O)ccc32)cc1;medium;Thermodyn. sol.;;34;ug/mL
15;Chemistry 27;Permeability;42;A;https://www.sciencedirect.com/science/article/pii/S0968089622000499;42;CM;[*]CCn1cc(Nc2ncc(OCc3c(F)c(OC)cc(OC)c3F)cn2)cn1;A;27;[*]O;COc1cc(OC)c(F)c(COc2cnc(Nc3cnn(CCO)c3)nc2)c1F;Good;Pampa;;13.3;10-6cm/sec
15;Chemistry 28;Permeability;42;A;https://www.sciencedirect.com/science/article/pii/S0968089622000499;42;CM;[*]CCn1cc(Nc2ncc(OCc3c(F)c(OC)cc(OC)c3F)cn2)cn1;B;29;[*]NC1CCN(C)CC1;COc1cc(OC)c(F)c(COc2cnc(Nc3cnn(CCNC4CCN(C)CC4)c3)nc2)c1F;bad;Pampa;<;1.4;10-6cm/sec
15;Chemistry 29;Permeability;42;A;https://www.sciencedirect.com/science/article/pii/S0968089622000499;42;CM;[*]CCn1cc(Nc2ncc(OCc3c(F)c(OC)cc(OC)c3F)cn2)cn1;C;31;[*]N1CCNCC1;COc1cc(OC)c(F)c(COc2cnc(Nc3cnn(CCN4CCNCC4)c3)nc2)c1F;bad;Pampa;<;1.1;10-6cm/sec
33;Chemistry 30;Permeability;42;A;https://www.sciencedirect.com/science/article/pii/S0968089622000499;42;CM;[*]c1ccc(Nc2ncc(OCc3c(F)c(OC)cc(OC)c3F)cn2)cc1OC;A;7b;[*]N1CCN(C)CC1;COc1cc(Nc2ncc(OCc3c(F)c(OC)cc(OC)c3F)cn2)ccc1N1CCN(C)CC1;Good;Pampa;>;30;10-6cm/sec
33;Chemistry 31;Permeability;42;A;https://www.sciencedirect.com/science/article/pii/S0968089622000499;42;CM;[*]c1ccc(Nc2ncc(OCc3c(F)c(OC)cc(OC)c3F)cn2)cc1OC;B;1;[*]N1CCC(CC1)N2CCN(C)CC2;COc1cc(Nc2ncc(OCc3c(F)c(OC)cc(OC)c3F)cn2)ccc1N1CCC(N2CCN(C)CC2)CC1;medium;Pampa;;18.4;10-6cm/sec
33;Chemistry 32;Permeability;42;A;https://www.sciencedirect.com/science/article/pii/S0968089622000499;42;CM;[*]c1ccc(Nc2ncc(OCc3c(F)c(OC)cc(OC)c3F)cn2)cc1OC;C;7a;[*]N1CCN(CC1)C2CCN(C)CC2;COc1cc(Nc2ncc(OCc3c(F)c(OC)cc(OC)c3F)cn2)ccc1N1CCN(C2CCN(C)CC2)CC1;bad;Pampa;;3.5;10-6cm/sec
68;Chemistry 35;Solubility;40;C;https://www.sciencedirect.com/science/article/pii/S0960894X16306424;40;CM;[*]c1cncc(Nc2cc([nH]n2)C3CC3)n1;A;8;[*]NC(C)c1nc2cc[nH]c2cc1F;CC(Nc1cncc(Nc2cc(C3CC3)[nH]n2)n1)c1nc2cc[nH]c2cc1F;medium;Kin Aq Sol 7.4 HTS;;58;uM
68;Chemistry 34;Solubility;40;C;https://www.sciencedirect.com/science/article/pii/S0960894X16306424;40;CM;[*]c1cncc(Nc2cc([nH]n2)C3CC3)n1;B;1;[*]NC(C)c1ccc2[nH]ccc2c1;CC(Nc1cncc(Nc2cc(C3CC3)[nH]n2)n1)c1ccc2[nH]ccc2c1;medium;Kin Aq Sol 7.4 HTS;;69;uM
68;Chemistry 33;Solubility;40;C;https://www.sciencedirect.com/science/article/pii/S0960894X16306424;40;CM;[*]c1cncc(Nc2cc([nH]n2)C3CC3)n1;C;5;[*]NC(C)c1ccc2[nH]ccc2n1;CC(Nc1cncc(Nc2cc(C3CC3)[nH]n2)n1)c1ccc2[nH]ccc2n1;Good;Kin Aq Sol 7.4 HTS;;133;uM
19;Chemistry 37;hERG;39;B;https://www.sciencedirect.com/science/article/pii/S0960894X1630049X;39;CM;[*]c1cc(cc(c1)C(F)(F)F)C(=O)NC2CCc3ccc(Oc4ccnc5NC(=O)CCc45)cc3C2;A;7;[*]C1(N)CCC1;NC1(c2cc(C(=O)NC3CCc4ccc(Oc5ccnc6c5CCC(=O)N6)cc4C3)cc(C(F)(F)F)c2)CCC1;bad;IC51;;3.1;uM
